Model,ROC-AUC,PR-AUC
Logistic Regression,0.9985486211901307,0.8303571428571428
Logistic Regression,0.995147986414362,0.5555555555555556
Logistic Regression,0.9968023255813954,0.6676190476190476
Logistic Regression,0.9965986394557823,0.7666666666666666
Logistic Regression,0.9909288824383163,0.2733516483516483
Random Forest,0.9992743105950653,0.8875
Random Forest,0.9932071809801069,0.35
Random Forest,1.0,1.0
Random Forest,0.9956268221574344,0.42499999999999993
Random Forest,0.9840348330914369,0.1959033613445378
XGBoost,0.9970972423802611,0.6428571428571428
XGBoost,0.9966035904900534,0.4666666666666667
XGBoost,0.998546511627907,0.8999999999999999
XGBoost,0.9951409135082604,0.6388888888888888
XGBoost,0.9865747460087083,0.20357142857142854
